CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A101;A101_01;A101_02;A101_03;A102;A102_01;A102_02;A102_03;A102_03a;A103;A103_01;A103_02;A103_03;A103_03a;A104;A104_01;A104_02;A104_03;A104_03a;A105;A105_01;A105_02;A105_03;A105_03a;A106;A106_01;A106_02;A106_03;A106_03a;A107;A107_01;A107_02;A107_03;A107_03a;A108;A108_01;A108_02;A108_03;A108_03a;A201;A201_01;A201_02;A201_03;A201_03a;A202;A202_01;A202_02;A202_03;A202_03a;A203;A203_01;A203_02;A203_03;A203_03a;A204;A204_01;A204_02;A204_03;A204_03a;A205;A205_01;A205_02;A205_03;A205_03a;A206;A206_01;A206_02;A206_03;A206_03a;A207;A207_01;A207_02;A207_03;A207_03a;A208;A208_01;A208_02;A208_03;A208_03a;A301;A301_01;A301_02;A301_03;A301_03a;A302;A302_01;A302_02;A302_03;A302_03a;A303;A303_01;A303_02;A303_03;A303_03a;A304;A304_01;A304_02;A304_03;A304_03a;A305;A305_01;A305_02;A305_03;A305_03a;A306;A306_01;A306_02;A306_03;A306_03a;A307;A307_01;A307_02;A307_03;A307_03a;A308;A308_01;A308_02;A308_03;A308_03a;A401;A401_01;A401_02;A401_03;A401_03a;A402;A402_01;A402_02;A402_03;A402_03a;A403;A403_01;A403_02;A403_03;A403_03a;A404;A404_01;A404_02;A404_03;A404_03a;A405;A405_01;A405_02;A405_03;A405_03a;A406;A406_01;A406_02;A406_03;A406_03a;A407;A407_01;A407_02;A407_03;A407_03a;A408;A408_01;A408_02;A408_03;A408_03a;B101;B101_01;B101_02;B101_03;B101_03a;B102;B102_01;B102_02;B102_03;B102_03a;B103;B103_01;B103_02;B103_03;B103_03a;B104;B104_01;B104_02;B104_03;B104_03a;B105;B105_01;B105_02;B105_03;B105_03a;B106;B106_01;B106_02;B106_03;B106_03a;B107;B107_01;B107_02;B107_03;B107_03a;B108;B108_01;B108_02;B108_03;B108_03a;B201;B201_01;B201_02;B201_03;B202;B202_01;B202_02;B202_03;B203;B203_01;B203_02;B203_03;B204;B204_01;B204_02;B204_03;B205;B205_01;B205_02;B205_03;B206;B206_01;B206_02;B206_03;B206_03a;B207;B207_01;B207_02;B207_03;B208;B208_01;B208_02;B208_03;B208_03a;B301;B301_01;B301_02;B301_03;B301_03a;B302;B302_01;B302_02;B302_03;B303;B303_01;B303_02;B303_03;B304;B304_01;B304_02;B304_03;B304_03a;B305;B305_01;B305_02;B305_03;B305_03a;B306;B306_01;B306_02;B306_03;B306_03a;B307;B307_01;B307_02;B307_03;B307_03a;B308;B308_01;B308_02;B308_03;B308_03a;B401;B401_01;B401_02;B401_03;B402;B402_01;B402_02;B402_03;B403;B403_01;B403_02;B403_03;B404;B404_01;B404_02;B404_03;B405;B405_01;B405_02;B405_03;B406;B406_01;B406_02;B406_03;B406_03a;B407;B407_01;B407_02;B407_03;B408;B408_01;B408_02;B408_03;C101;C101_01;C101_02;C101_03;C101_03a;C102;C102_01;C102_02;C102_03;C102_03a;C103;C103_01;C103_02;C103_03;C103_03a;C104;C104_01;C104_02;C104_03;C104_03a;C105;C105_01;C105_02;C105_03;C105_03a;C106;C106_01;C106_02;C106_03;C106_03a;C107;C107_01;C107_02;C107_03;C107_03a;C108;C108_01;C108_02;C108_03;C108_03a;C201;C201_01;C201_02;C201_03;C201_03a;C202;C202_01;C202_02;C202_03;C202_03a;C203;C203_01;C203_02;C203_03;C203_03a;C204;C204_01;C204_02;C204_03;C204_03a;C205;C205_01;C205_02;C205_03;C205_03a;C206;C206_01;C206_02;C206_03;C206_03a;C207;C207_01;C207_02;C207_03;C207_03a;C208;C208_01;C208_02;C208_03;C208_03a;C301;C301_01;C301_02;C301_03;C301_03a;C302;C302_01;C302_02;C302_03;C302_03a;C303;C303_01;C303_02;C303_03;C303_03a;C304;C304_01;C304_02;C304_03;C304_03a;C305;C305_01;C305_02;C305_03;C305_03a;C306;C306_01;C306_02;C306_03;C306_03a;C307;C307_01;C307_02;C307_03;C307_03a;C308;C308_01;C308_02;C308_03;C308_03a;C401;C401_01;C401_02;C401_03;C401_03a;C402;C402_01;C402_02;C402_03;C402_03a;C403;C403_01;C403_02;C403_03;C403_03a;C404;C404_01;C404_02;C404_03;C404_03a;C405;C405_01;C405_02;C405_03;C405_03a;C406;C406_01;C406_02;C406_03;C406_03a;C407;C407_01;C407_02;C407_03;C407_03a;C408;C408_01;C408_02;C408_03;C408_03a;R001_CP;R001x01;R001x02;R001x03;R001x04;R001x05;R001x06;R001x07;R001x08;R009_CP;R009x01;R009x02;R009x03;R009x04;R009x05;R009x06;R009x07;R009x08;R005_CP;R005x01;R005x02;R005x03;R005x04;R005x05;R005x06;R005x07;R005x08;R004_CP;R004x01;R004x02;R004x03;R004x04;R004x05;R004x06;R004x07;R004x08;R012_CP;R012x01;R012x02;R012x03;R012x04;R012x05;R012x06;R012x07;R012x08;R008_CP;R008x01;R008x02;R008x03;R008x04;R008x05;R008x06;R008x07;R008x08;R003_CP;R003x01;R003x02;R003x03;R003x04;R003x05;R003x06;R003x07;R003x08;R011_CP;R011x01;R011x02;R011x03;R011x04;R011x05;R011x06;R011x07;R011x08;R007_CP;R007x01;R007x02;R007x03;R007x04;R007x05;R007x06;R007x07;R007x08;R002_CP;R002x01;R002x02;R002x03;R002x04;R002x05;R002x06;R002x07;R002x08;R010_CP;R010x01;R010x02;R010x03;R010x04;R010x05;R010x06;R010x07;R010x08;R006_CP;R006x01;R006x02;R006x03;R006x04;R006x05;R006x06;R006x07;R006x08;Y101;Y102;Y104;Y105;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
234;CASE000233;233;Gruppe4;interview;2023-11-18 11:47:08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;2;2;1;2;Die Umrisse sind richtig erkannt;2;1;2;2;Die Umrisse des Schreibtischs sind als wichtiger Bereich erkannt, aber nicht die Naähmaschine;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;;;;;;;;;;23;5;6;1;7;2;4;8;3;;;;;;;;;;;;;;;;;;;22;7;6;2;3;5;1;4;8;;;;;;;;;;;;;;;;;;;22;6;4;5;7;8;3;2;1;;;;;;;;;;;;;;;;;;;22;6;3;5;7;2;1;4;8;;;;;;;;;;1;3;1;3;6;22;51;113;58;54;53;357;;2023-11-18 11:53:06;1;0;7;7;0;0;0,98
236;CASE000235;235;Gruppe3;interview;2023-11-18 14:10:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;bin mir unsicher;2;1;2;2;"Der wichtige Bereich ist zu groß und der ""wichtigster Bereich"" ebenso. Es wird auch der Mann mit gelb markiert";2;2;1;2;wichtige Details, wie gesichtsausdruck, Armhaltung und Gegenstand Hantel wurden mit in Entscheidung einbezogen;2;1;2;2;das richtige Objekt wurde hervorgehoben, könnte aber in der Form auch was anderes sein;2;2;1;2;klare Umfrisse erkennbar;2;1;2;2;vermutlich wurde nur ein Arbeitsplatz/Schreibtisch erkannt;2;2;1;2;"Der wichtigste Bereich Leutturm, wurde klar mit geld markiert und erkannt. 
Möglicherweise fehlt aber das Wasser, welches beim Erkennen auch wichtig sein könnte";2;1;2;2;schwierig, weil dass etwas in einer Hand liegt möglicherweise erkannt wurde. Es ist aber irritierend, das Teile des Stiftes (mitte und Spitze) als nicht relevant markiert wurden;1;1;2;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;2;1;2;2;schiebetür wird nicht als relevant angezeigt;1;2;1;1;2;1;2;2;tragbare und liegende Person, wird als nicht relevant markiert;1;1;2;1;;1;1;2;1;1;1;2;1;1;1;2;1;;2;1;2;2;könnte eventuell auch als ein Schiff erkannt worden sein;2;1;2;2;Der gelbe Rahmen links irritert;2;1;2;2;"markierter ""Nicht relevanter"" Bereich irriterit";1;1;2;1;;1;1;2;1;1;2;1;1;1;2;1;1;1;2;1;1;1;2;1;1;1;1;2;1;;1;2;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;42;47;43;41;45;44;46;48;;;;;;;;;;;;;;;;;;;17;5;3;8;1;4;2;6;7;;;;;;;;;;;;;;;;;;;17;3;5;6;4;8;7;1;2;;;;;;;;;;;;;;;;;;;17;56;58;55;51;54;53;52;57;1;2;1;3;16;48;119;640;301;343;134;325;;2023-11-18 14:37:15;1;0;7;7;0;0;0,31
240;CASE000239;239;Gruppe2;interview;2023-11-18 18:22:23;1;1;2;1;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;5;3;6;2;8;4;1;7;;;;;;;;;;;;;;;;;;;25;7;8;4;5;6;2;3;1;;;;;;;;;;;;;;;;;;;25;8;4;2;5;3;7;6;1;;;;;;;;;;;;;;;;;;;26;7;5;6;3;8;2;1;4;;;;;;;;;;;;;;;;;;;1;3;1;3;2;20;33;56;33;32;44;220;;2023-11-18 18:26:03;1;0;7;7;0;0;1,61
244;CASE000243;243;Gruppe3;interview;2023-11-19 01:09:43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;1;1;2;1;1;1;2;1;1;1;2;1;1;2;1;1;1;1;2;1;;1;1;2;1;1;1;2;1;;1;1;2;1;;1;1;2;1;1;1;2;1;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;1;1;2;1;1;1;2;1;1;1;2;1;1;2;1;1;1;2;1;1;;1;2;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;48;45;41;44;47;46;43;42;;;;;;;;;;;;;;;;;;;18;1;5;6;2;3;8;7;4;;;;;;;;;;;;;;;;;;;18;5;2;6;3;7;1;4;8;;;;;;;;;;;;;;;;;;;18;57;53;52;51;58;56;54;55;1;2;1;3;9;20;43;73;45;32;23;245;;2023-11-19 01:13:48;1;0;7;7;0;0;1,25
250;CASE000249;249;Gruppe2;interview;2023-11-19 16:17:18;1;1;2;1;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;2;1;2;2;eher der Schreibtisch wurde erkannt ;2;2;1;2;weil der Leuchtturm hervorgehoben wird ;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;7;6;1;8;5;3;2;4;;;;;;;;;;;;;;;;;;;26;8;7;5;3;4;6;2;1;;;;;;;;;;;;;;;;;;;26;7;4;8;2;5;1;6;3;;;;;;;;;;;;;;;;;;;27;6;7;3;5;8;2;1;4;;;;;;;;;;;;;;;;;;;1;2;1;3;2;36;58;122;81;66;48;413;;2023-11-19 16:24:11;1;0;7;7;0;0;1,06
254;CASE000253;253;Gruppe2;interview;2023-11-20 08:52:13;1;1;2;1;2;1;2;2;Weil man nichts erkennen kan auf dem Ergebnisbild ;1;2;1;1;;1;2;1;1;;2;2;1;2;Weil man die Umrisse des Salamanders genau erkennen kann;2;1;2;2;Weil die Nähmaschine größtenteils als nicht relevant markiert ist ;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;2;7;5;1;8;4;6;3;;;;;;;;;;;;;;;;;;;27;4;2;6;3;5;1;8;7;;;;;;;;;;;;;;;;;;;27;7;3;1;6;4;2;8;5;;;;;;;;;;;;;;;;;;;28;2;4;7;8;5;3;6;1;;;;;;;;;;;;;;;;;;;1;3;1;3;10;27;75;163;68;60;56;459;;2023-11-20 08:59:52;1;0;7;7;0;0;0,71
256;CASE000255;255;Gruppe3;interview;2023-11-20 11:21:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;1;1;2;1;1;1;2;1;1;1;2;1;1;2;1;1;1;1;2;1;;1;2;1;1;1;1;2;1;;1;1;2;1;;1;1;2;1;1;1;2;1;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;1;1;2;1;1;1;2;1;1;1;2;1;1;2;1;1;1;1;2;1;;1;2;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;48;47;41;46;42;44;43;45;;;;;;;;;;;;;;;;;;;20;3;2;8;6;4;7;5;1;;;;;;;;;;;;;;;;;;;20;8;4;2;1;3;6;7;5;;;;;;;;;;;;;;;;;;;20;58;54;53;51;52;56;57;55;1;3;1;3;1;21;18;62;56;32;34;224;;2023-11-20 11:24:48;1;0;7;7;0;0;1,61
270;CASE000269;269;Gruppe4;interview;2023-11-20 12:52:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;;;;;;;;;;26;2;6;4;1;7;3;8;5;;;;;;;;;;;;;;;;;;;25;1;5;8;3;7;2;6;4;;;;;;;;;;;;;;;;;;;25;3;6;4;5;7;8;2;1;;;;;;;;;;;;;;;;;;;25;6;5;7;3;4;1;2;8;;;;;;;;;;1;3;2;3;7;23;5;81;40;35;32;223;;2023-11-20 12:56:37;1;0;7;7;0;0;1,55
272;CASE000271;271;Gruppe3;interview;2023-11-20 13:22:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;1;1;2;1;1;2;1;1;1;2;1;1;1;2;1;1;1;1;2;1;;1;2;1;1;1;1;2;1;;1;2;1;1;;1;1;2;1;1;2;1;1;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;1;2;1;1;1;2;1;1;1;2;1;1;1;2;1;1;1;2;1;1;;1;2;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;43;41;48;42;46;47;45;44;;;;;;;;;;;;;;;;;;;21;1;5;6;4;2;3;8;7;;;;;;;;;;;;;;;;;;;21;5;8;7;6;4;2;3;1;;;;;;;;;;;;;;;;;;;21;54;56;55;53;57;51;58;52;4;2;1;3;17;50;39;108;83;66;56;419;;2023-11-20 13:29:23;1;0;7;7;0;0;0,69
276;CASE000275;275;Gruppe4;interview;2023-11-20 13:39:08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;;;;;;;;;;27;3;6;7;5;4;2;8;1;;;;;;;;;;;;;;;;;;;26;1;8;6;2;4;3;5;7;;;;;;;;;;;;;;;;;;;26;1;7;3;2;4;8;5;6;;;;;;;;;;;;;;;;;;;26;3;4;6;7;2;8;1;5;;;;;;;;;;4;3;1;3;18;27;24;74;67;64;56;330;;2023-11-20 13:44:39;1;0;7;7;0;0;0,99
282;CASE000281;281;Gruppe3;interview;2023-11-20 15:31:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;1;1;2;1;1;1;2;1;1;1;2;1;1;2;1;1;1;2;1;1;;1;2;1;1;1;2;1;1;;2;1;2;2;nicht als Bananen erkannt;1;1;2;1;1;1;2;1;2;1;2;2;nicht als Topf und eier erkannt;2;1;2;2;die form erkannt, aber nicht als flugzeugträger;2;1;2;2;als tasse erkannt aber nicht als Tasse mit heißgetränk;1;2;1;1;;2;1;2;2;nicht als Bikini erkannt - nur die Gestalt;1;1;2;1;1;1;2;1;1;1;2;1;1;1;2;1;1;2;1;1;1;1;2;2;nicht als Sofa erkannt;1;2;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;47;43;44;46;45;41;48;42;;;;;;;;;;;;;;;;;;;22;3;5;1;6;8;7;2;4;;;;;;;;;;;;;;;;;;;22;4;2;7;3;8;1;6;5;;;;;;;;;;;;;;;;;;;22;55;57;51;52;53;58;56;54;4;3;1;3;17;63;117;229;90;511;100;375;;2023-11-20 15:50:18;1;0;7;7;0;0;0,39
288;CASE000287;287;Gruppe2;interview;2023-11-20 16:47:30;1;1;2;1;2;1;2;2;Form undefiniert ;2;2;1;2;Form erkennbar;2;2;1;2;Form definiert ;2;2;1;2;Form erkennbar ;2;1;2;2;Schreibtisch ist markiert;2;2;1;2;Form definiert ;2;1;2;2;Form undefiniert;2;2;1;2;Form definiert ;2;1;2;2;Form undefiniert ;2;2;1;2;Form definiert ;2;2;1;2;Form definiert ;2;2;1;2;Form definiert ;2;2;1;2;Form definiert ;2;2;1;2;Form definiert ;2;1;2;2;Form undefiniert ;1;1;2;2;Form undefiniert ;2;1;2;2;Form undefiniert ;2;2;1;2;Form definiert ;2;2;1;2;Form definiert ;2;2;1;2;Form definiert ;2;2;1;2;Form definiert ;2;1;2;2;Form undefiniert ;2;1;2;2;Form undefiniert ;2;2;1;2;Form definiert ;2;1;2;2;Form undefiniert ;2;2;1;2;Form definiert ;2;2;1;2;Form definiert ;2;2;1;2;Form definiert ;2;2;1;2;Form definiert ;2;2;1;2;Form definiert ;2;2;1;2;Form definiert ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;6;3;8;1;5;2;4;7;;;;;;;;;;;;;;;;;;;28;2;7;6;8;4;1;3;5;;;;;;;;;;;;;;;;;;;28;4;7;3;2;8;1;5;6;;;;;;;;;;;;;;;;;;;29;2;5;4;8;3;7;6;1;;;;;;;;;;;;;;;;;;;3;2;2;3;7;27;59;152;113;104;60;522;;2023-11-20 16:56:12;1;0;7;7;0;0;0,67
